Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject,Output Mode,Invalid 3D,Invalid Mark,Invalid uCrack,BX,BY
RETEST,6VTRX07,SKY55446+REV14_TEST ONLY,2024/11/21 11:35:03,2024/11/21 11:57:24,93.260%,638,43,,4,,1,,
SORT,1,SKY55446+REV14_TEST ONL,2024/11/21 10:24:04,2024/11/21 10:29:45,,,,,,,,,
SORT,6VTRX07,SKY55446+REV14_TEST ONLY,2024/11/21 10:24:04,2024/11/21 10:29:45,0.000%,0,0,,0,,,,
SORTIN,1,SKY55446+REV14_TEST ONL,2024/11/21 10:35:23,2024/11/21 11:02:39,,,,,,,,,
SORTIN,1,SKY55446+REV14_TEST ONL,2024/11/21 10:35:23,2024/11/21 11:02:39,,,,,,,,,
SORTIN,6VTRX07,SKY55446+REV14_TEST ONLY,2024/11/21 10:35:23,2024/11/21 11:02:39,95.298%,638,30,,17,,,,
SORTING,1,SKY55446+REV14_TEST ONL,2024/11/21 10:32:46,2024/11/21 10:33:27,,,,,,,,,
SORTING,6VTRX07,SKY55446+REV14_TEST ONLY,2024/11/21 10:32:46,2024/11/21 10:33:27,0.000%,0,0,,0,,,,
WITH RETEST,1,SKY55446+REV14_TEST ONL,2024/11/20 10:28:42,2024/11/20 10:50:29,,,,,,,,,
WITH RETEST,1,SKY55446+REV14_TEST ONL,2024/11/20 10:28:42,2024/11/20 10:50:29,,,,,,,,,
WITH RETEST,6VTRX07,SKY55446+REV14_TEST ONLY,2024/11/20 10:28:42,2024/11/20 10:50:29,90.625%,640,60,,18,0,0,0,0
2172731.1 K307 RESCAN,6VTRX08,SKY58470+STR+REV1,2024/11/22 17:22:38,2024/11/22 17:33:11,79.936 %,,63,,48,,,,
2172731.1 K307,6VTRX08,SKY58470+STR+REV1,2024/11/22 16:40:27,2024/11/22 17:19:40,82.953 %,,314,,266,,,,
2172731.1 RESCAN,6VTRX08,SKY58470+STR+REV1,2024/11/22 16:10:06,2024/11/22 16:21:52,74.801 %,,95,,77,,,,
2172731.1,6VTRX08,SKY58470+STR+REV1,2024/11/22 14:30:48,2024/11/22 16:04:32,79.731 %,,377,,341,,,,
2175792.1 STR RESCAN,6VTRX08,SKY53938-11 STR,2024/11/24 20:24:14,2024/11/24 20:32:14,32.283 %,,86,,14,,,,
2175792.1 STR V1 RESCAN,6VTRX08,SKY53938-11 STR,2024/11/24 16:27:12,2024/11/24 16:54:22,43.564 %,,57,,15,,,,
2175792.1 STR V1,6VTRX08,SKY53938-11 STR,2024/11/24 15:44:40,2024/11/24 16:00:00,22.901 %,,101,,17,,,,
2175792.1 STR V2,6VTRX08,SKY53938-11 STR,2024/11/24 17:19:27,2024/11/24 17:32:11,14.961 %,,108,,7,,,,
2175792.1 STR V3 RESCAN,6VTRX08,SKY53938-11 STR,2024/11/24 23:56:45,2024/11/25 00:03:02,10.891 %,,90,,41,,,,
2175792.1 STR V3,6VTRX08,SKY53938-11 STR,2024/11/24 20:41:56,2024/11/24 22:12:37,21.094 %,,101,,45,,,,
2175792.1 STRV1,6VTRX08,SKY53938-11 STR,2024/11/25 14:45:28,2024/11/25 14:50:03,0.000 %,,55,,8,,,,
2175792.1 STRV2,6VTRX08,SKY53938-11 STR,2024/11/25 15:02:47,2024/11/25 15:08:51,1.163 %,,85,,11,,,,
2175792.1 STRV3,6VTRX08,SKY53938-11 STR,2024/11/25 15:16:08,2024/11/25 15:22:26,0.000 %,,90,,22,,,,
4984978.1,6VTRX08,SKY55446+REV12,2024/11/24 01:48:03,2024/11/24 08:32:05,99.541 %,,98,,42,5,7,0,0
4984978.1,6VTRX08,SKY55446+REV12,2024/11/24 01:48:03,2024/11/24 07:44:37,94.621 %,,1143,,22,64,992,1,3
