Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
4957916.1,,SKY55446+REV,2024/10/16 16:38:34,2024/10/17 01:30:55,,,
4957916.1,,SKY55446+REV,2024/10/16 16:38:34,2024/10/17 01:30:55,,,
774,6VTRX07,SKY55446+REV3,2024/10/16 16:38:34,2024/10/17 01:30:55,90.095%,21363,2116
4957919.1,,SKY55446+REV,2024/10/14 01:57:45,2024/10/14 07:21:29,,,
4957919.1,,SKY55446+REV,2024/10/14 01:57:45,2024/10/14 07:21:29,,,
,6VTRX07,SKY55446+REV3,2024/10/14 01:57:45,2024/10/14 07:21:29,99.736%,19300,51
4957919.1,,SKY55446+REV,2024/10/14 01:57:45,2024/10/14 06:49:37,,,
4957919.1,,SKY55446+REV,2024/10/14 01:57:45,2024/10/14 06:49:37,,,
720,6VTRX07,SKY55446+REV3,2024/10/14 01:57:45,2024/10/14 06:49:37,97.631%,19161,454
4957922.1,,SKY55446+REV,2024/10/22 01:47:30,2024/10/22 11:42:35,,,
4957922.1,,SKY55446+REV,2024/10/22 01:47:30,2024/10/22 11:42:35,,,
931,6VTRX07,SKY55446+REV3,2024/10/22 01:47:30,2024/10/22 11:42:35,97.277%,21411,583
4957922.1,,SKY55446+REV,2024/10/22 01:47:30,2024/10/22 12:12:00,,,
4957922.1,,SKY55446+REV,2024/10/22 01:47:30,2024/10/22 12:12:00,,,
,6VTRX07,SKY55446+REV3,2024/10/22 01:47:30,2024/10/22 12:12:00,99.246%,21475,162
4957922.1,,SKY55446+REV,2024/10/22 01:47:30,2024/10/22 08:02:51,,,
4957922.1,,SKY55446+REV,2024/10/22 01:47:30,2024/10/22 08:02:51,,,
79,6VTRX07,SKY55446+REV3,2024/10/22 01:47:30,2024/10/22 08:02:51,94.834%,13260,685
4958148.1,,SKY55446+REV,2024/10/13 20:30:11,2024/10/14 01:39:41,,,
4958148.1,,SKY55446+REV,2024/10/13 20:30:11,2024/10/14 01:39:41,,,
,6VTRX07,SKY55446+REV3,2024/10/13 20:30:11,2024/10/14 01:39:41,99.680%,21545,69
4958148.1,,SKY55446+REV,2024/10/13 20:30:11,2024/10/14 01:05:41,,,
4958148.1,,SKY55446+REV,2024/10/13 20:30:11,2024/10/14 01:05:41,,,
940,6VTRX07,SKY55446+REV3,2024/10/13 20:30:11,2024/10/14 01:05:41,97.423%,21461,553
4958149.1,,SKY55446+REV,2024/10/12 15:31:32,2024/10/13 01:37:20,,,
4958149.1,,SKY55446+REV,2024/10/12 15:31:32,2024/10/13 01:37:20,,,
903,6VTRX07,SKY55446+REV3,2024/10/12 15:31:32,2024/10/13 01:37:20,95.763%,21453,909
4958149.1,,SKY55446+REV,2024/10/12 15:31:32,2024/10/13 02:03:22,,,
4958149.1,,SKY55446+REV,2024/10/12 15:31:32,2024/10/13 02:03:22,,,
925,6VTRX07,SKY55446+REV3,2024/10/12 15:31:32,2024/10/13 02:03:22,99.832%,20792,35
,6VTRX07,SKY55446+REV3,2024/10/12 15:31:32,2024/10/13 02:19:22,100.000%,20757,0
4958149.1,,SKY55446+REV,2024/10/12 15:31:32,2024/10/12 20:22:17,,,
4958149.1,,SKY55446+REV,2024/10/12 15:31:32,2024/10/12 20:22:17,,,
