Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
4957914.1,,SKY55446+REV,10/10/2024 7:03,10/10/2024 13:20,,,
4957914.1,,SKY55446+REV,10/10/2024 7:03,10/10/2024 13:20,,,
,6VTRX07,SKY55446+REV2,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,99.25%,21491,162
4957914.1,,SKY55446+REV,10/10/2024 7:03,10/10/2024 12:50,,,
4957914.1,,SKY55446+REV,10/10/2024 7:03,10/10/2024 12:50,,,
921,6VTRX07,SKY55446+REV2,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,97.37%,21274,559
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/3/2024 22:54,,,
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/3/2024 22:54,,,
953,6VTRX07,SKY55446+REV1,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,97.39%,9789,256
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/3/2024 23:41,,,
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/3/2024 23:41,,,
960,6VTRX07,SKY55446+REV1,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,98.09%,9788,187
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/4/2024 1:30,,,
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/4/2024 1:30,,,
,6VTRX07,SKY55446+REV1,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,98.05%,9792,191
4957915.1,,SKY55446+REV,10/2/2024 6:44,10/2/2024 6:50,,,
4957915.1.2,,SKY55446+REV,10/2/2024 7:06,10/2/2024 9:56,,,
4957915.1.2,,SKY55446+REV,10/2/2024 7:06,10/2/2024 9:56,,,
303,6VTRX07,SKY55446+REV1,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,96.39%,15081,545
4957915.1.2DEP,,SKY55446+REV,10/2/2024 10:16,10/2/2024 10:56,,,
4957915.1.2DEP,,SKY55446+REV,10/2/2024 10:16,10/2/2024 10:56,,,
4957915.1.2DEP,6VTRX07,SKY55446+REV1,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,100.00%,3036,0
4957915.1.3DEP,,SKY55446+REV,10/2/2024 11:28,10/2/2024 13:36,,,
4957915.1.3DEP,6VTRX07,SKY55446+REV1,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,100.00%,11484,0
,6VTRX07,SKY55446+REV1,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,0.00%,0,0
4957916.1,,SKY55446+REV,10/16/2024 16:38,10/17/2024 3:31,,,
4957916.1,,SKY55446+REV,10/16/2024 16:38,10/17/2024 3:31,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,97.35%,21546,571
4957916.1,,SKY55446+REV,10/16/2024 16:38,10/17/2024 1:30,,,
4957916.1,,SKY55446+REV,10/16/2024 16:38,10/17/2024 1:30,,,
774,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,90.10%,21363,2116
4957919.1,,SKY55446+REV,10/14/2024 1:57,10/14/2024 7:21,,,
4957919.1,,SKY55446+REV,10/14/2024 1:57,10/14/2024 7:21,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,99.74%,19300,51
4957919.1,,SKY55446+REV,10/14/2024 1:57,10/14/2024 6:49,,,
4957919.1,,SKY55446+REV,10/14/2024 1:57,10/14/2024 6:49,,,
720,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,97.63%,19161,454
4957922.1,,SKY55446+REV,10/22/2024 1:47,10/22/2024 11:42,,,
4957922.1,,SKY55446+REV,10/22/2024 1:47,10/22/2024 11:42,,,
931,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,97.28%,21411,583
4957922.1,,SKY55446+REV,10/22/2024 1:47,10/22/2024 12:12,,,
4957922.1,,SKY55446+REV,10/22/2024 1:47,10/22/2024 12:12,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,99.25%,21475,162
4957922.1,,SKY55446+REV,10/22/2024 1:47,10/22/2024 8:02,,,
4957922.1,,SKY55446+REV,10/22/2024 1:47,10/22/2024 8:02,,,
79,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,94.83%,13260,685
4958148.1,,SKY55446+REV,10/13/2024 20:30,10/14/2024 1:39,,,
4958148.1,,SKY55446+REV,10/13/2024 20:30,10/14/2024 1:39,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,99.68%,21545,69
4958148.1,,SKY55446+REV,10/13/2024 20:30,10/14/2024 1:05,,,
4958148.1,,SKY55446+REV,10/13/2024 20:30,10/14/2024 1:05,,,
940,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,97.42%,21461,553
4958149.1,,SKY55446+REV,10/12/2024 15:31,10/13/2024 1:37,,,
4958149.1,,SKY55446+REV,10/12/2024 15:31,10/13/2024 1:37,,,
