File Name,Lot,Equip ID,Yield
4292417.1-1.txt,LOT       : 4292417.1                                START TIME : 2023/03/29 08:13:34,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5523            Total Yield :  99.873%
4292417.1.txt,LOT       : 4292417.1                                START TIME : 2023/03/29 08:13:34,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5523            Total Yield :  98.733%
4292418.1-1.txt,LOT       : 4292418.1                                START TIME : 2023/03/19 03:46:06,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9907            Total Yield :  99.838%
4292418.1.txt,LOT       : 4292418.1                                START TIME : 2023/03/19 03:46:06,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9789            Total Yield :  99.264%
4292420.1-1.txt,LOT       : 4292420.1                                START TIME : 2023/03/23 11:15:03,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9906            Total Yield :  99.707%
4292420.1.txt,LOT       : 4292420.1                                START TIME : 2023/03/23 11:15:03,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9906            Total Yield :  98.738%
4292946.1-1.txt,LOT       : 4292946.1                                START TIME : 2023/03/23 15:42:59,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 4745            Total Yield :  99.895%
4292946.1.txt,LOT       : 4292946.1                                START TIME : 2023/03/23 15:42:59,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 4749            Total Yield :  99.263%
4292947.1-1.txt,LOT       : 4292947.1                                START TIME : 2023/03/23 13:29:29,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9945            Total Yield :  99.859%
4292947.1-2.txt,LOT       : 4292947.1                                START TIME : 2023/03/23 13:29:29,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9945            Total Yield :  99.859%
4292947.1.txt,LOT       : 4292947.1                                START TIME : 2023/03/23 15:27:32,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 345             Total Yield :  95.652%
4292948.1 3-1.txt,LOT       : 4292948.1 3                              START TIME : 2023/03/23 04:59:01,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9986            Total Yield :  99.910%
4292948.1 3.txt,LOT       : 4292948.1 3                              START TIME : 2023/03/23 04:59:01,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9984            Total Yield :  99.008%
4292948.1.txt,LOT       : 4292948.1                                START TIME : 2023/03/23 04:39:24,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 0               Total Yield :   0.000%
4292949.1-1.txt,LOT       : 4292949.1                                START TIME : 2023/03/23 19:06:21,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9995            Total Yield :  99.070%
4292949.1.txt,LOT       : 4292949.1                                START TIME : 2023/03/23 19:06:21,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9995            Total Yield :  97.779%
4293237.1-1.txt,LOT       : 4293237.1                                START TIME : 2023/03/25 01:32:25,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9959            Total Yield :  99.488%
4293237.1.txt,LOT       : 4293237.1                                START TIME : 2023/03/25 01:32:25,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9959            Total Yield :  97.178%
4293238.1-1.txt,LOT       : 4293238.1                                START TIME : 2023/03/23 20:38:16,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10026           Total Yield :  99.681%
4293238.1.txt,LOT       : 4293238.1                                START TIME : 2023/03/23 20:38:16,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10025           Total Yield :  99.082%
4293371.1-1.txt,LOT       : 4293371.1                                START TIME : 2023/03/21 16:49:08,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5568            Total Yield :  99.497%
4293371.1.txt,LOT       : 4293371.1                                START TIME : 2023/03/21 16:49:08,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5566            Total Yield :  99.245%
4293372.1-1.txt,LOT       : 4293372.1                                START TIME : 2023/03/22 01:29:20,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5630            Total Yield :  99.716%
4293372.1.txt,LOT       : 4293372.1                                START TIME : 2023/03/22 01:29:20,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5630            Total Yield :  99.627%
4293373.1-1.txt,LOT       : 4293373.1                                START TIME : 2023/03/22 00:33:58,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5653            Total Yield :  99.823%
4293373.1.txt,LOT       : 4293373.1                                START TIME : 2023/03/22 00:33:58,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5653            Total Yield :  99.611%
4294279.1-1.txt,LOT       : 4294279.1                                START TIME : 2023/03/24 04:59:56,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10062           Total Yield :  99.831%
4294279.1.txt,LOT       : 4294279.1                                START TIME : 2023/03/24 04:59:56,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10062           Total Yield :  99.384%
4294280.1.txt,LOT       : 4294280.1                                START TIME : 2023/03/24 02:14:12,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10083           Total Yield :  99.564%
4294680.1.txt,LOT       : 4294680.1                                START TIME : 2023/03/21 23:45:10,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5618            Total Yield :  99.644%
4295240.1-1.txt,LOT       : 4295240.1                                START TIME : 2023/03/22 05:03:17,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5921            Total Yield :  99.949%
4295240.1.txt,LOT       : 4295240.1                                START TIME : 2023/03/22 05:03:17,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5673            Total Yield :  99.559%
4295535.1.txt,LOT       : 4295535.1                                START TIME : 2023/03/22 04:13:42,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5667            Total Yield :  99.488%
4295536.1-1.txt,LOT       : 4295536.1                                START TIME : 2023/03/22 02:32:31,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5711            Total Yield :  99.965%
4295536.1.txt,LOT       : 4295536.1                                START TIME : 2023/03/22 02:32:31,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5711            Total Yield :  99.702%
