Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
4734906.1,6VTRX02,SKYA21055+REV6,2024/03/20 17:10:50,2024/03/20 20:21:15,98.703%,7865,
4734906.,6VTRX02,SKYA21055+REV6,2024/03/20 20:27:54,2024/03/20 20:44:46,88.235%,102,
4735012.1,6VTRX02,SKY58253+REV5,2024/03/18 11:12:58,2024/03/18 12:35:10,98.046%,8701,
4735014.1,6VTRX02,SKY58253+REV5,2024/03/18 13:55:47,2024/03/18 14:59:57,96.822%,4279,
4735014.2,6VTRX02,SKY58253+REV5,2024/03/18 15:04:41,2024/03/18 15:23:30,91.182%,499,
4735802.1,6VTRX02,SKYA21055+REV6,2024/03/23 03:07:10,2024/03/23 05:04:19,89.469%,7853,
4735802.,6VTRX02,SKYA21055+REV6,2024/03/23 05:11:40,2024/03/23 05:38:16,84.039%,827,
4735802.,6VTRX02,SKYA21055+REV6,2024/03/23 05:38:56,2024/03/23 05:52:29,70.543%,129,
4735803.1,6VTRX02,SKYA21055+REV6,2024/03/21 11:42:42,2024/03/21 12:33:34,97.774%,7636,
4735803.,6VTRX02,SKYA21055+REV6,2024/03/21 12:39:46,2024/03/21 13:01:28,81.765%,170,
4735804.1,6VTRX02,SKYA21055+REV6,2024/03/20 01:28:20,2024/03/20 02:10:12,97.919%,7880,
4735804.,6VTRX02,SKYA21055+REV6,2024/03/20 02:19:14,2024/03/20 02:29:45,87.195%,164,
4736015.1,6VTRX02,SKY58253+REV5,2024/03/16 21:55:30,2024/03/16 22:45:54,96.964%,4743,
4736015.,6VTRX02,SKY58253+REV5,2024/03/16 22:49:07,2024/03/16 22:56:53,95.833%,144,
4736016.1,6VTRX02,SKY58253+REV5,2024/03/18 22:22:19,2024/03/18 23:16:29,97.766%,5192,
4736017.1,6VTRX02,SKY58253+REV5,2024/03/16 23:05:50,2024/03/17 00:08:40,96.881%,5610,
4736017.,6VTRX02,SKY58253+REV5,2024/03/17 00:13:14,2024/03/17 00:21:46,89.773%,176,
4736018.1,6VTRX02,SKY58253+REV5,2024/03/18 17:32:59,2024/03/18 20:19:22,97.651%,8089,
4736670.1,6VTRX02,SKYA21055+REV6,2024/03/22 20:37:20,2024/03/22 22:17:04,99.426%,8007,
4736671.1,6VTRX02,SKYA21055+REV6,2024/03/21 18:41:26,2024/03/21 19:25:42,99.027%,8120,
4736671.,6VTRX02,SKYA21055+REV6,2024/03/21 19:29:41,2024/03/21 19:39:44,88.608%,79,
4736672.1,6VTRX02,SKYA21055+REV6,2024/03/22 09:34:44,2024/03/22 11:20:15,99.774%,7961,
4736742.1,6VTRX02,SKY58253+REV5,2024/03/18 23:25:41,2024/03/19 01:00:31,98.474%,8584,
4736743.1,6VTRX02,SKY58253+REV5,2024/03/18 12:38:08,2024/03/18 13:52:38,98.148%,8584,
4736744.1,6VTRX02,SKY58253+REV5,2024/04/01 00:53:03,2024/04/01 02:26:19,98.485%,8583,
4736744.,6VTRX02,SKY58253+REV5,2024/04/01 02:29:41,2024/04/01 02:39:25,84.615%,130,
4736745.1,6VTRX02,SKY58253+REV5,2024/03/17 18:16:46,2024/03/17 19:59:48,97.042%,7742,
4736745.,6VTRX02,SKY58253+REV5,2024/03/17 20:01:57,2024/03/17 20:15:55,96.943%,229,
4736747.1,6VTRX02,SKY58253+REV5,2024/03/19 05:55:03,2024/03/19 07:12:16,98.907%,8604,
4736839.1,6VTRX02,SKYA21055+REV6,2024/03/20 10:21:14,2024/03/20 11:57:24,98.500%,7935,
4736840.1,6VTRX02,SKYA21055+REV6,2024/04/02 12:40:03,2024/04/02 14:16:27,98.782%,8212,
4736840.,6VTRX02,SKYA21055+REV6,2024/04/02 14:18:23,2024/04/02 14:26:57,88.000%,100,
4736881.1,6VTRX02,SKYA21055+REV6,2024/03/23 12:25:09,2024/03/23 13:09:11,98.680%,8258,
4736881.2,6VTRX02,SKYA21055+REV6,2024/03/23 13:10:15,2024/03/23 13:17:49,99.112%,338,
4736882.1,6VTRX02,SKYA21055+REV6,2024/03/23 11:34:03,2024/03/23 12:17:40,99.627%,8310,
4736883.1,6VTRX02,SKYA21055+REV6,2024/03/22 01:46:29,2024/03/22 03:27:43,96.980%,8345,
4736883.,6VTRX02,SKYA21055+REV6,2024/03/22 03:30:32,2024/03/22 03:40:04,70.916%,251,
4736883.,6VTRX02,SKYA21055+REV6,2024/03/22 03:51:45,2024/03/22 03:59:41,57.534%,73,
4736884.1,6VTRX02,SKYA21055+REV6,2024/03/21 19:47:49,2024/03/21 20:52:58,96.734%,8390,
4736884.,6VTRX02,SKYA21055+REV6,2024/03/21 20:54:59,2024/03/21 22:03:13,72.628%,274,
4736884.,6VTRX02,SKYA21055+REV6,2024/03/21 22:07:04,2024/03/21 22:16:13,54.667%,75,
4736885.1,6VTRX02,SKYA21055+REV6,2024/03/20 13:33:22,2024/03/20 14:56:06,99.044%,7424,
4736886.1,6VTRX02,SKYA21055+REV6,2024/03/22 04:13:30,2024/03/22 05:30:54,95.418%,7639,
4736886.,6VTRX02,SKYA21055+REV6,2024/03/22 05:34:47,2024/03/22 05:49:28,71.714%,350,
4736886.,6VTRX02,SKYA21055+REV6,2024/03/22 05:56:25,2024/03/22 06:21:23,64.646%,99,
